Registro N°,N° L. Venta,Producto,Registrante,P.Activo,Situación,Formulacion,Fabricante,País Origen,Resolución,Habilitación,Vencimiento,Mantenimiento,Clase de Uso,Toxicologia
21,368,TRICLORFON 500 MILENIA                                                                                                                                                                                  ,MILENIA PARAGUAY S.A                                                                                , TRICLORFON 50.000 %,CANCELADO           ,SOL NO ACUOSA                                                                                       ,MILENIA AGROCIENCIAS SA                                                              ,BRASIL              ,               ,2000-10-23,2005-10-23,2004-10-23,INSECTICIDA,III                 
25,366,ENDOSULFAN 35 CE MILENIA                                                                                                                                                                                ,MILENIA PARAGUAY S.A                                                                                , ENDOSULFAN 35.000 %,CANCELADO           ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,MILENIA AGROCIENCIAS SA                                                              ,BRASIL              ,               ,2003-06-18,2008-06-18,2004-06-18,INSECTICIDA ACARICIDA,II                  
27,492,GLIFOSATO MILENIA                                                                                                                                                                                       ,MILENIA PARAGUAY S.A                                                                                , GLIFOSATO 48.000 %,CANCELADO           ,LIQUIDO SOLUBLE                                                                                     ,SINON CORPORATION                                                                    ,CHINA               ,               ,2003-06-18,2008-06-18,2004-06-18,HERBICIDA,IV                  
32,287,AGREPT 25  WP                                                                                                                                                                                           ,AGRO PARAGUAY S.R.L                                                                                 , ESTREPTOMICINA 25.000 %,VIGENTE             ,POLVO MOJABLE (WP)                                                                                  ,MEIJI SEIKA KAISHA LTD                                                               ,JAPON               ,355/2008       ,2012-02-09,2025-03-31,2024-03-31,BACTERICIDA,IV                  
33,285,PADATOP 50 SP                                                                                                                                                                                           ,AGRO PARAGUAY S.R.L                                                                                 , CARTAP CLORHIDRATO 50.000 %,VIGENTE             ,POLVO SOLUBLE (SP)                                                                                  ,SINON CHEMICAL (SHANGHAI) CO. LTD                                                    ,CHINA               ,132/09         ,2012-02-09,2025-03-31,2024-03-31,INSECTICIDA,II                  
35,380,AGIL 100 EC                                                                                                                                                                                             ,ADAMA PARAGUAY S.R.L.                                                                               , PROPAQUIZAFOP 10.000 %,CANCELADO           ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,NOVARTIS CROP PROTECTION AG                                                          ,SUIZA               ,               ,2000-11-03,2005-11-03,2004-11-03,HERBICIDA,II                  
38,381,BASUDIN 600 EC                                                                                                                                                                                          ,CIBA GEIGY S.A. DE VENTA Y DISTRIBUCIÓN                                                             ,,CANCELADO           ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,CIBA GEIGY AG.                                                                       ,SUIZA               ,               ,1995-11-13,2000-11-13,2001-03-31,INSECTICIDA,III                 
40,384,CURACRON 500 EC                                                                                                                                                                                         ,CIBA GEIGY S.A. DE VENTA Y DISTRIBUCIÓN                                                             ,,CANCELADO           ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,CIBA GEIGY AG.                                                                       ,SUIZA               ,               ,1995-11-13,2000-11-13,2001-03-31,INSECTICIDA ACARICIDA,II                  
41,385,CURACRON FORTE 425 EC                                                                                                                                                                                   ,CIBA GEIGY S.A. DE VENTA Y DISTRIBUCIÓN                                                             ,,CANCELADO           ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,CIBA GEIGY AG.                                                                       ,SUIZA               ,               ,1995-11-13,2003-02-13,2000-11-13,INSECTICIDA ACARICIDA,II                  
42,386,CURACRON FORTE 375 ULVAIR                                                                                                                                                                               ,CIBA GEIGY S.A. DE VENTA Y DISTRIBUCIÓN                                                             ,,CANCELADO           ,ULTRA BAJO VOLUMEN (UL)                                                                             ,CIBA GEIGY AG.                                                                       ,SUIZA               ,               ,2001-10-16,2006-10-16,2002-10-16,INSECTICIDA;ACARICIDA,II                  
43,383,CURACRON ULVAIR 250                                                                                                                                                                                     ,CIBA GEIGY S.A. DE VENTA Y DISTRIBUCIÓN                                                             ,,CANCELADO           ,ULTRA BAJO VOLUMEN (UL)                                                                             ,CIBA GEIGY AG.                                                                       ,SUIZA               ,               ,1995-11-13,2000-11-13,2001-03-31,INSECTICIDA ACARICIDA,II                  
44,387,DAMFIN 500 EC                                                                                                                                                                                           ,CIBA GEIGY S.A. DE VENTA Y DISTRIBUCIÓN                                                             ,,CANCELADO           ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,CIBA GEIGY AG.                                                                       ,SUIZA               ,               ,1995-11-13,2000-11-13,2001-03-31,INSECTICIDA ACARICIDA,II                  
45,388,DIMECRON 100 SCW                                                                                                                                                                                        ,CIBA GEIGY S.A. DE VENTA Y DISTRIBUCIÓN                                                             ,,CANCELADO           ,EMULSION CONCENTRADA                                                                                ,CIBA GEIGY AG.                                                                       ,SUIZA               ,               ,1996-03-18,2001-03-18,2002-03-31,INSECTICIDA,II                  
46,389,DIMECRON 250 ULVAIR                                                                                                                                                                                     ,CIBA GEIGY S.A. DE VENTA Y DISTRIBUCIÓN                                                             ,,CANCELADO           ,ULTRA BAJO VOLUMEN (UL)                                                                             ,CIBA GEIGY AG.                                                                       ,SUIZA               ,               ,1995-11-13,2000-11-13,2001-03-31,INSECTICIDA,II                  
47,392,DUAL 960 EC                                                                                                                                                                                             ,CIBA GEIGY S.A. DE VENTA Y DISTRIBUCIÓN                                                             ,,CANCELADO           ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,CIBA GEIGY AG.                                                                       ,SUIZA               ,               ,1995-11-13,2000-11-13,2001-03-31,HERBICIDA,II                  
48,394,ERBOTAN PLUS 80 WP                                                                                                                                                                                      ,CIBA GEIGY S.A. DE VENTA Y DISTRIBUCIÓN                                                             ,,CANCELADO           ,POLVO MOJABLE (WP)                                                                                  ,CIBA GEIGY AG.                                                                       ,SUIZA               ,               ,1995-11-13,2000-11-13,2001-03-31,HERBICIDA,III                 
49,395,GESAGARD 500 FW                                                                                                                                                                                         ,CIBA GEIGY S.A. DE VENTA Y DISTRIBUCIÓN                                                             ,,CANCELADO           ,LIQUIDO FLOABLE                                                                                     ,CIBA GEIGY AG.                                                                       ,SUIZA               ,               ,1995-11-13,2000-11-13,2001-03-31,HERBICIDA,IV                  
50,396,GESAPAX 500 FW                                                                                                                                                                                          ,CIBA GEIGY S.A. DE VENTA Y DISTRIBUCIÓN                                                             ,,CANCELADO           ,LIQUIDO FLOABLE                                                                                     ,CIBA GEIGY SA.                                                                       ,ESTADOS UNIDOS      ,               ,1995-11-13,2000-11-13,2001-03-31,HERBICIDA,III                 
51,398,GESAPAX COMBI 500 FW                                                                                                                                                                                    ,CIBA GEIGY S.A. DE VENTA Y DISTRIBUCIÓN                                                             ,,CANCELADO           ,LIQUIDO FLOABLE                                                                                     ,CIBA GEIGY AG.                                                                       ,SUIZA               ,               ,1995-11-13,2000-11-13,2001-03-31,HERBICIDA,III                 
52,399,GESAPRIM 500 FW                                                                                                                                                                                         ,CIBA GEIGY S.A. DE VENTA Y DISTRIBUCIÓN                                                             ,,CANCELADO           ,LIQUIDO FLOABLE                                                                                     ,CIBA GEIGY SA.                                                                       ,ESTADOS UNIDOS      ,               ,1995-11-13,2000-11-13,2001-03-31,HERBICIDA,IV                  
53,401,GESATOP NUEVE - O WDG                                                                                                                                                                                   ,SYNGENTA IBEROAMERICANA SUCURSAL PARAGUAY                                                           , SIMAZINA 90.000 %,CANCELADO           ,GRANULADO DISPERSABLES (WG)                                                                         ,SYNGENTA CROP PROTECTION S.A.                                                        ,ESTADOS UNIDOS      ,               ,2005-11-06,2010-11-06,2006-11-06,HERBICIDA,IV                  
54,241,HERBAMINA 720                                                                                                                                                                                           ,CIBA GEIGY S.A. DE VENTA Y DISTRIBUCIÓN                                                             ,,CANCELADO           ,EMULSION CONCENTRADA                                                                                ,INTERAG S.A.                                                                         ,AUSTRIA             ,               ,1995-09-04,2000-09-04,2001-03-31,HERBICIDA,III                 
56,406,MOFOS 60 SCW                                                                                                                                                                                            ,CIBA GEIGY S.A. DE VENTA Y DISTRIBUCIÓN                                                             ,,CANCELADO           ,SUSPENSION CONCENTRADA (SC)                                                                         ,AGROLINZ AGRAR CH.                                                                   ,SUIZA               ,493/2003       ,1995-11-13,2000-11-13,2001-03-31,INSECTICIDA;ACARICIDA,I                   
57,409,NUVACRON 40 SCW                                                                                                                                                                                         ,CIBA GEIGY S.A. DE VENTA Y DISTRIBUCIÓN                                                             ,,CANCELADO           ,CONCENTRADO SOLUBLE (SL)                                                                            ,CIBA GEIGY AG.                                                                       ,SUIZA               ,               ,1995-11-13,2000-11-13,2001-03-31,INSECTICIDA,I                   
58,408,NUVACRON 250 ULVAIR                                                                                                                                                                                     ,CIBA GEIGY S.A. DE VENTA Y DISTRIBUCIÓN                                                             ,,CANCELADO           ,CONCENTRADO SOLUBLE (SL)                                                                            ,CIBA GEIGY AG.                                                                       ,SUIZA               ,               ,1995-11-13,2000-11-13,2001-03-31,INSECTICIDA,I                   
59,410,POLITRIN 100 EC                                                                                                                                                                                         ,CIBA GEIGY S.A. DE VENTA Y DISTRIBUCIÓN                                                             ,,CANCELADO           ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,CIBA GEIGY AG.                                                                       ,SUIZA               ,               ,1995-11-13,2000-11-13,2001-03-31,INSECTICIDA,IV                  
60,417,PROMET 400 CS                                                                                                                                                                                           ,CIBA GEIGY S.A. DE VENTA Y DISTRIBUCIÓN                                                             ,,CANCELADO           ,SUSPENSION CONCENTRADA (SC)                                                                         ,CIBA GEIGY AG.                                                                       ,SUIZA               ,               ,1995-11-13,2000-11-13,2001-03-31,INSECTICIDA,IV                  
61,411,RIDOMIL MZ - 72 WP                                                                                                                                                                                      ,CIBA GEIGY S.A. DE VENTA Y DISTRIBUCIÓN                                                             ,,CANCELADO           ,POLVO MOJABLE (WP)                                                                                  ,CIBA GEIGY AG.                                                                       ,SUIZA               ,               ,1995-11-13,2003-02-13,2000-11-13,FUNGICIDA,IV                  
62,413,TILT 250 EC                                                                                                                                                                                             ,SYNGENTA IBEROAMERICANA SUCURSAL PARAGUAY                                                           , PROPICONAZOLE 25.000 %,CANCELADO           ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,SYNGENTA CROP PROTECTION S.A.                                                        ,SUIZA               ,               ,2000-10-03,2005-10-03,2006-03-31,FUNGICIDA,III                 
64,415,TOPIK 240 EC                                                                                                                                                                                            ,SYNGENTA PARAGUAY S.A.                                                                              , CLODINAFOP PROPARGILICO 24.000 %,DEFINITIVO          ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,SYNGENTA CROP PROTECTION S.A.                                                        ,SUIZA               ,351/2008       ,2017-10-10,2027-10-09,2024-03-31,HERBICIDA,III                 
65,416,PRIMEXTRA 500 FW                                                                                                                                                                                        ,CIBA GEIGY S.A. DE VENTA Y DISTRIBUCIÓN                                                             ,,CANCELADO           ,LIQUIDO FLOABLE                                                                                     ,CIBA GEIGY AG.                                                                       ,SUIZA               ,               ,1995-11-13,2000-11-13,2001-03-31,HERBICIDA,IV                  
67,221,VITAVAX T                                                                                                                                                                                               ,MILENIA PARAGUAY S.A                                                                                , CARBOXIN 37.500 %; TIRAM 37.500 %,CANCELADO           ,POLVO MOJABLE (WP)                                                                                  ,UNIROYAL CHEMICAL LTD.                                                               ,CANADA              ,               ,2000-09-04,2005-09-04,2004-09-04,FUNGICIDA,III                 
68,220,VITAVAX 75                                                                                                                                                                                              ,MILENIA PARAGUAY S.A                                                                                , CARBOXIN 75.000 %,CANCELADO           ,POLVO MOJABLE (WP)                                                                                  ,UNIROYAL CHEMICAL LTD.                                                               ,CANADA              ,               ,2000-09-04,2005-09-04,2004-09-04,FUNGICIDA,IV                  
69,222,VITAVAX 300                                                                                                                                                                                             ,MILENIA PARAGUAY S.A                                                                                , CARBOXIN 0.000 %; TIRAM 0.000 %,CANCELADO           ,POLVO MOJABLE (WP)                                                                                  ,UNIROYAL CHEMICAL LTD.                                                               ,CANADA              ,               ,2003-01-08,2003-02-12,2003-01-08,FUNGICIDA,III                 
70,223,VITAVAX FLO 200 FF                                                                                                                                                                                      ,ALQUIMICA S.A.                                                                                      , CARBOXIN 20.000 %; TIRAM 20.000 %,VIGENTE             ,SUSPENSION CONCENTRADA P/ TRAT. DE SEMILLA (FS)                                                     ,CHEMTURA IND. QUIMICA DO BRASIL LTDA.                                                ,BRASIL              ,355/2008       ,2012-02-09,2019-03-31,2018-05-31,FUNGICIDA,III                 
71,717,CAPTAN FLO 30 DD                                                                                                                                                                                        ,MILENIA PARAGUAY S.A                                                                                , CAPTAN 30.000 %,CANCELADO           ,SUSPENSION CONCENTRADA (SC)                                                                         ,UNIROYAL CHEMICAL LTD.                                                               ,ESTADOS UNIDOS      ,               ,2003-06-18,2008-06-18,2004-06-18,FUNGICIDA,III                 
72,554,MERPAN 50 FLO                                                                                                                                                                                           ,ADAMA PARAGUAY S.R.L.                                                                               , CAPTAN 50.000 %,CANCELADO           ,SUSPENSION CONCENTRADA (SC)                                                                         ,MAKHTESHIM CHEMICAL WORKS LIMITED                                                    ,ISRAEL              ,               ,2006-04-10,2008-12-29,2009-03-31,FUNGICIDA,IV                  
74,105,ORTHENE 75                                                                                                                                                                                              ,MILENIA PARAGUAY S.A                                                                                , ACEFATO 75.000 %,CANCELADO           ,POLVO SOLUBLE (SP)                                                                                  ,TOMEN CORPORATION                                                                    ,ESTADOS UNIDOS      ,               ,1995-06-23,2003-02-13,2000-06-23,INSECTICIDA,III                 
75,104,ORTHENE 80                                                                                                                                                                                              ,MILENIA PARAGUAY S.A                                                                                , ACEFATO 80.000 %,CANCELADO           ,POLVO SOLUBLE (SP)                                                                                  ,TOMEN CORPORATION                                                                    ,ESTADOS UNIDOS      ,               ,1995-06-23,2000-06-23,2001-03-31,INSECTICIDA,III                 
76,730,ORTHOCIDE 800                                                                                                                                                                                           ,MILENIA PARAGUAY S.A                                                                                , CAPTAN 80.000 %,CANCELADO           ,POLVO MOJABLE (WP)                                                                                  ,CHEMTURA QUIMICA ARGENTINA SACI                                                      ,ESTADOS UNIDOS      ,               ,1998-06-18,2003-02-13,2003-06-18,FUNGICIDA,III                 
78,321,BASAGRAN 480                                                                                                                                                                                            ,BASF PARAGUAYA S.A                                                                                  , BENTAZON 48.000 %,CANCELADO           ,LIQUIDO SOLUBLE                                                                                     ,BASF AG.                                                                             ,ALEMANIA            ,               ,1995-10-23,2003-02-12,2000-10-23,HERBICIDA,III                 
80,319,DITHANE PM/M 80                                                                                                                                                                                         ,CORTEVA AGRISCIENCE PARAGUAY S.A                                                                    , MANCOZEB 80.000 %,CANCELADO           ,POLVO MOJABLE (WP)                                                                                  ,DOW AGROSCIENCES INDUSTRIAL LTDA.                                                    ,BRASIL              ,               ,2005-11-06,2008-12-29,2009-03-31,FUNGICIDA,IV                  
81,327,FACET                                                                                                                                                                                                   ,BASF PARAGUAYA S.A                                                                                  , QUINCLORAC 50.000 %,CANCELADO           ,POLVO MOJABLE (WP)                                                                                  ,BASF AG.                                                                             ,ALEMANIA            ,               ,1995-10-23,2000-10-23,1996-10-23,HERBICIDA,IV                  
82,752,POAST CICLO (FOCUS)                                                                                                                                                                                     ,BASF PARAGUAYA S.A                                                                                  , CICLOXIDIM 20.000 %,CANCELADO           ,LIQUIDO EMULSIONABLE                                                                                ,BASF AG.                                                                             ,ALEMANIA            ,               ,1997-11-20,2002-11-20,2003-03-31,HERBICIDA,IV                  
85,314,STORN-GALAXY TOP                                                                                                                                                                                        ,BASF PARAGUAYA S.A                                                                                  , BENTAZON 48.000 %; ACIFLUORFEN 24.000 %,CANCELADO           ,LIQUIDO SOLUBLE                                                                                     ,BASF AGRICULTURAL PRODUCTS                                                           ,ESTADOS UNIDOS      ,               ,1995-10-23,2000-10-23,2001-03-31,HERBICIDA,III                 
86,330,PERFEKTHION 40                                                                                                                                                                                          ,BASF PARAGUAYA S.A                                                                                  , DIMETOATO 40.000 %,CANCELADO           ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,BASF AG.                                                                             ,ALEMANIA            ,               ,1995-10-23,2000-10-23,2001-03-31,INSECTICIDA,III                 
87,28,DORMEX                                                                                                                                                                                                  ,MULTIFLEX S.R.L.                                                                                    ,,CANCELADO           ,EMULSION ACUOSA                                                                                     ,DEFENSA SA.                                                                          ,BRASIL              ,               ,1995-05-26,2000-05-26,1996-05-26,FITOREGULADOR,II                  
88,290,ONCOL 40 F                                                                                                                                                                                              ,AGRO PARAGUAY S.R.L                                                                                 , BENFURACARB 40.000 %,CANCELADO           ,SUSPENSION CONCENTRADA (SC)                                                                         ,OTSUKA CHEMICAL COMP. LTD.                                                           ,JAPON               ,               ,2005-10-03,2008-12-29,2008-10-03,INSECTICIDA,I.B                 
89,189,HOMAI 80 WP                                                                                                                                                                                             ,AGRO PARAGUAY S.R.L                                                                                 , METIL TIOFANATO 50.000 %; TIRAM 30.000 %,VIGENTE             ,POLVO MOJABLE (WP)                                                                                  ,NIPPON SODA  CO. LTD.                                                                ,JAPON               ,355/2008       ,2012-02-09,2025-03-31,2024-03-31,FUNGICIDA,IV                  
90,282,RIZOLEX 50 WP                                                                                                                                                                                           ,AGRO PARAGUAY S.R.L                                                                                 , TOLCLOFOS METIL 50.000 %,CANCELADO           ,POLVO MOJABLE (WP)                                                                                  ,SUMITOMO CHEMICAL CO.                                                                ,JAPON               ,355/2008       ,2005-09-18,2008-12-31,2009-03-31,FUNGICIDA,IV                  
91,339,CAPTAN FERSOL 500 PM                                                                                                                                                                                    ,INDUSQUIM S.R.L.                                                                                    ,,CANCELADO           ,POLVO MOJABLE (WP)                                                                                  ,FERSOL IND.COM. LTDA.                                                                ,BRASIL              ,               ,1995-10-23,2000-10-23,1996-10-23,FUNGICIDA,III                 
92,340,ACEFATO FERSOL 750 PS                                                                                                                                                                                   ,INDUSQUIM S.R.L.                                                                                    ,,CANCELADO           ,POLVO SOLUBLE (SP)                                                                                  ,FERSOL IND.COM. LTDA.                                                                ,BRASIL              ,               ,1995-10-23,2000-10-23,2001-03-31,INSECTICIDA ACARICIDA,IV                  
95,740,AGRAL                                                                                                                                                                                                   ,SYNGENTA PARAGUAY S.A.                                                                              , NONIL FENOXI POLI ETANOL 20.000 %,VIGENTE             ,CONCENTRADO SOLUBLE (SL)                                                                            ,SYNGENTA PROTECAO DE CULTIVOS                                                        ,BRASIL              ,351/2008       ,2012-02-09,2025-03-31,2024-03-31,COADYUVANTE,IV                  
97,20,HALEY                                                                                                                                                                                                   ,BIO AGRO S.R.L                                                                                      , CIMOXANIL 6.000 %; SALES DE COBRE 46.000 %,VIGENTE             ,POLVO MOJABLE (WP)                                                                                  ,SERFI S.A.                                                                           ,PERU                ,351/2008       ,2012-02-09,2025-03-31,2024-03-31,FUNGICIDA,III                 
98,21,VENCETHO                                                                                                                                                                                                ,BIO AGRO S.R.L                                                                                      , ACEFATO 74.000 %,CANCELADO           ,POLVO SOLUBLE (SP)                                                                                  ,SERFI S.A.                                                                           ,PERU                ,               ,2005-07-04,2010-07-04,2006-07-04,INSECTICIDA,III                 
102,627,KUPRICA 85 S                                                                                                                                                                                            ,MILENIA PARAGUAY S.A                                                                                ," COBRE, OXICLORURO 85.000 %",CANCELADO           ,POLVO MOJABLE (WP)                                                                                  ,QUIMETAL INDUSTRIAL S.A.                                                             ,CHILE               ,               ,1998-06-18,2003-06-18,2004-03-31,FUNGICIDA,III                 
108,610,APADRIN 60                                                                                                                                                                                              ,MILENIA PARAGUAY S.A                                                                                , MONOCROTOFOS 60.000 %,CANCELADO           ,CONCENTRADO SOLUBLE (SL)                                                                            ,MAKHTESHIN CHEMICAL MANUFACTURERS LTD.                                               ,ISRAEL              ,493/2003       ,1998-06-17,2003-06-17,2004-03-31,INSECTICIDA ACARICIDA,I                   
109,633,TRIFLUREX 48 EC                                                                                                                                                                                         ,MILENIA PARAGUAY S.A                                                                                , TRIFLURALINA 48.000 %,CANCELADO           ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,AGAN CHEMICAL LTD.                                                                   ,ISRAEL              ,               ,1995-05-05,2003-02-13,2000-05-05,HERBICIDA,IV                  
110,631,THIONEX 35 EC                                                                                                                                                                                           ,MILENIA PARAGUAY S.A                                                                                , ENDOSULFAN 35.000 %,CANCELADO           ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,AGAN CHEMICAL LTD.                                                                   ,ISRAEL              ,               ,1998-06-18,2003-06-18,1999-06-18,INSECTICIDA ACARICIDA,II                  
117,626,HORMONAS                                                                                                                                                                                                ,MILENIA PARAGUAY S.A                                                                                ,SIN DATOS,CANCELADO           ,POLVO SOLUBLE (SP)                                                                                  ,NATAGRI INTERNATIONAL                                                                ,CANADA              ,               ,2002-06-18,2002-11-08,2002-06-08,HORMONAS,III                 
121,630,SELECT 2 EC                                                                                                                                                                                             ,UPL PARAGUAY S.A.                                                                                   , CLETODIM 24.000 %,DEFINITIVO          ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,UPL DO BRASIL INDUSTRIA E COMERCIO DE INSUMOS AGROPECUARIOS S.A.                     ,BRASIL              ,351/2008       ,2020-01-23,2025-01-23,2024-03-31,HERBICIDA,II                  
